system:index,B11_post,B11_pre,B12_post,B12_pre,B4_post,B4_pre,B8A_post,B8A_pre,NBR_post,NBR_pre,area,dNBR,label,latitude,longitude,.geo
2_1_503,0.2479500025510788,0.25224998593330383,0.2354000061750412,0.1545500010251999,0.06055000051856041,0.0742499977350235,0.10970000177621841,0.22294999659061432,-0.36424225297779794,0.18119204237724482,Karkaraly,0.545434296131134,1,49.19142820078379,75.42237719998987,"{""type"":""Point"",""coordinates"":[75.42237719998987,49.19142820078379]}"
2_1_506,0.20755000412464142,0.26919999718666077,0.2244500070810318,0.188400000333786,0.05939999967813492,0.08150000125169754,0.09130000323057175,0.1754000037908554,-0.4216943768871412,-0.03573390982831511,Karkaraly,0.3859604597091675,1,49.20375065440664,75.34791423682627,"{""type"":""Point"",""coordinates"":[75.34791423682627,49.20375065440664]}"
2_1_509,0.28060001134872437,0.29429998993873596,0.2563999891281128,0.20759999752044678,0.08654999732971191,0.09319999814033508,0.14560000598430634,0.21879999339580536,-0.27562185196748895,0.026266407396707325,Karkaraly,0.30188825726509094,1,49.18451727626221,75.34161275072915,"{""type"":""Point"",""coordinates"":[75.34161275072915,49.18451727626221]}"
2_1_515,0.22059999406337738,0.26460000872612,0.2219499945640564,0.1941000074148178,0.07580000162124634,0.08969999849796295,0.10670000314712524,0.16699999570846558,-0.35067698834494776,-0.07504849479909863,Karkaraly,0.2756285071372986,1,49.21217473921184,75.35277283224576,"{""type"":""Point"",""coordinates"":[75.35277283224576,49.21217473921184]}"
2_1_518,0.2227499932050705,0.23510000109672546,0.20145000517368317,0.1527000069618225,0.05665000155568123,0.07559999823570251,0.1120000034570694,0.22139999270439148,-0.28537246531706695,0.1836406998232175,Karkaraly,0.46901315450668335,1,49.20431143420042,75.44146375329473,"{""type"":""Point"",""coordinates"":[75.44146375329473,49.20431143420042]}"
2_1_519,0.23720000684261322,0.2890999913215637,0.23774999380111694,0.1973000019788742,0.07355000078678131,0.09220000356435776,0.11299999803304672,0.1859000027179718,-0.3556664252954641,-0.029749475785943887,Karkaraly,0.32591694593429565,1,49.201532076896136,75.33552109059579,"{""type"":""Point"",""coordinates"":[75.33552109059579,49.201532076896136]}"
2_1_526,0.22949999570846558,0.2870999872684479,0.23725000023841858,0.19040000438690186,0.05894999951124191,0.09160000085830688,0.10634999722242355,0.1915999948978424,-0.3809662514066603,0.0031413364219565723,Karkaraly,0.3841075897216797,1,49.19969340589027,75.33721086385775,"{""type"":""Point"",""coordinates"":[75.33721086385775,49.19969340589027]}"
2_1_528,0.18674999475479126,0.2531000077724457,0.19425000250339508,0.1808999925851822,0.05404999852180481,0.0892999991774559,0.08784999698400497,0.15950000286102295,-0.37717123613161313,-0.0628671856946049,Karkaraly,0.31430405378341675,1,49.20005506683876,75.38296665265752,"{""type"":""Point"",""coordinates"":[75.38296665265752,49.20005506683876]}"
2_1_529,0.15074999630451202,0.2653000056743622,0.17980000376701355,0.1704999953508377,0.03914999961853027,0.08320000022649765,0.05849999934434891,0.1960500031709671,-0.5090222527860341,0.06970401834174203,Karkaraly,0.5787262916564941,1,49.221055764393135,75.43219974176066,"{""type"":""Point"",""coordinates"":[75.43219974176066,49.221055764393135]}"
2_1_532,0.19304999709129333,0.2858000099658966,0.2163500040769577,0.1941000074148178,0.05025000125169754,0.09149999916553497,0.08079999685287476,0.1678999960422516,-0.45616694194825547,-0.07237572133248157,Karkaraly,0.3837912082672119,1,49.19682434324091,75.4025212705601,"{""type"":""Point"",""coordinates"":[75.4025212705601,49.19682434324091]}"
2_1_533,0.16619999706745148,0.2624000012874603,0.18970000743865967,0.17100000381469727,0.03864999860525131,0.09049999713897705,0.06615000218153,0.19020000100135803,-0.48290013918912933,0.053156137681777044,Karkaraly,0.5360562801361084,1,49.221036155474515,75.39206741257605,"{""type"":""Point"",""coordinates"":[75.39206741257605,49.221036155474515]}"
2_1_542,0.258899986743927,0.26409998536109924,0.24214999377727509,0.1826999932527542,0.06669999659061432,0.08190000057220459,0.11420000344514847,0.1858000010251999,-0.3590570824454472,0.008412504262096103,Karkaraly,0.36746957898139954,1,49.21288184545254,75.43943395154425,"{""type"":""Point"",""coordinates"":[75.43943395154425,49.21288184545254]}"
2_1_544,0.25554999709129333,0.20774999260902405,0.1695999950170517,0.10405000299215317,0.05624999850988388,0.041850000619888306,0.210999995470047,0.37165001034736633,0.10877562135514202,0.56253941528528,Karkaraly,0.45376378297805786,1,49.20466854434909,75.44393089978536,"{""type"":""Point"",""coordinates"":[75.44393089978536,49.20466854434909]}"
2_1_548,0.24244999885559082,0.2768000066280365,0.25529998540878296,0.2029000073671341,0.07985000312328339,0.08370000123977661,0.12144999951124191,0.18729999661445618,-0.3552753583412996,-0.03997952484237783,Karkaraly,0.31529584527015686,1,49.20143744133615,75.3627405449647,"{""type"":""Point"",""coordinates"":[75.3627405449647,49.20143744133615]}"
2_1_550,0.3138999938964844,0.24779999256134033,0.20065000653266907,0.12929999828338623,0.0925000011920929,0.06509999930858612,0.21085000038146973,0.302700012922287,0.024787347940261228,0.4013889123635828,Karkaraly,0.37660157680511475,1,49.230835400436725,75.35323586637936,"{""type"":""Point"",""coordinates"":[75.35323586637936,49.230835400436725]}"
