system:index,B11_post,B11_pre,B12_post,B12_pre,B4_post,B4_pre,B8A_post,B8A_pre,NBR_post,NBR_pre,area,dNBR,label,.geo
2_2_996,0.30820000171661377,0.3086000084877014,0.2467000037431717,0.24799999594688416,0.11460000276565552,0.1111999973654747,0.20155000686645508,0.22210000455379486,-0.10072503247754962,-0.05509464234312819,Karkaraly,0.04563039168715477,0,"{""type"":""Point"",""coordinates"":[75.34569138991806,49.21516243912169]}"
2_2_1000,0.19955000281333923,0.22360000014305115,0.1363999992609024,0.16380000114440918,0.06390000134706497,0.07259999960660934,0.19245000183582306,0.20340000092983246,0.1704424582271311,0.10784313606135772,Karkaraly,-0.06259932368993759,0,"{""type"":""Point"",""coordinates"":[75.40146674178641,49.23510320740929]}"
2_2_1002,0.21490000188350677,0.2320999950170517,0.1453000009059906,0.14959999918937683,0.07045000046491623,0.07349999994039536,0.20739999413490295,0.2249000072479248,0.1760702979928089,0.20106810884969803,Karkaraly,0.024997811764478683,0,"{""type"":""Point"",""coordinates"":[75.44176205165483,49.23198627003638]}"
2_2_1008,0.30764999985694885,0.3212999999523163,0.25404998660087585,0.2597000002861023,0.12060000002384186,0.12720000743865967,0.18735000491142273,0.20839999616146088,-0.1511100656366793,-0.10959197717145908,Karkaraly,0.041518088430166245,0,"{""type"":""Point"",""coordinates"":[75.31896962974633,49.177715840879834]}"
2_2_1011,0.23350000381469727,0.24629999697208405,0.17024999856948853,0.18129999935626984,0.07154999673366547,0.07829999923706055,0.19265000522136688,0.21570000052452087,0.061725010796053366,0.08664987702413227,Karkaraly,0.0249248668551445,0,"{""type"":""Point"",""coordinates"":[75.44548164348564,49.23368035137292]}"
2_2_1014,0.2831000089645386,0.30079999566078186,0.21324999630451202,0.2280000001192093,0.10830000042915344,0.10220000147819519,0.26260000467300415,0.28769999742507935,0.10370916941707416,0.11576497496636692,Karkaraly,0.012055805884301662,0,"{""type"":""Point"",""coordinates"":[75.40745901342696,49.23521872172858]}"
2_2_1015,0.24414999783039093,0.25699999928474426,0.16895000636577606,0.18410000205039978,0.08214999735355377,0.08380000293254852,0.23569999635219574,0.25130000710487366,0.16495734471288834,0.15434084437630052,Karkaraly,-0.010616499930620193,0,"{""type"":""Point"",""coordinates"":[75.40738894155953,49.22785154990669]}"
2_2_1039,0.18455000221729279,0.20029999315738678,0.11259999871253967,0.1225999966263771,0.05000000074505806,0.05400000140070915,0.188400000333786,0.21870000660419464,0.2518272487089951,0.28157049243534676,Karkaraly,0.029743243008852005,0,"{""type"":""Point"",""coordinates"":[75.44508908972718,49.23154403285234]}"
2_2_1041,0.13819999992847443,0.16439999639987946,0.08515000343322754,0.11209999769926071,0.034449998289346695,0.051100000739097595,0.16050000488758087,0.17900000512599945,0.3067372232935138,0.2298179552643189,Karkaraly,-0.07691926509141922,0,"{""type"":""Point"",""coordinates"":[75.31698220191883,49.23540491483119]}"
2_2_1048,0.2797499895095825,0.29429998993873596,0.22519999742507935,0.23229999840259552,0.11500000208616257,0.11840000003576279,0.21299999952316284,0.24140000343322754,-0.02784116382218392,0.019210481307504697,Karkaraly,0.04705164581537247,0,"{""type"":""Point"",""coordinates"":[75.3855023121478,49.23240862994077]}"
2_2_1055,0.15950000286102295,0.18655000627040863,0.10244999825954437,0.12219999730587006,0.05310000106692314,0.05079999938607216,0.1821500062942505,0.20024999976158142,0.280042188192029,0.24205304129490976,Karkaraly,-0.03798914700746536,0,"{""type"":""Point"",""coordinates"":[75.39117566051809,49.23737743819653]}"
2_2_1056,0.2689000070095062,0.2939999997615814,0.21369999647140503,0.23280000686645508,0.10170000046491623,0.1151999980211258,0.20264999568462372,0.21809999644756317,-0.02654017291932668,-0.032601486606453726,Karkaraly,-0.006061313673853874,0,"{""type"":""Point"",""coordinates"":[75.45301943740326,49.23750374913201]}"
2_2_1062,0.2547999918460846,0.266400009393692,0.18964999914169312,0.20270000398159027,0.0961500033736229,0.10400000214576721,0.19265000522136688,0.21480000019073486,0.007847256200459632,0.02898202655861594,Karkaraly,0.021134769544005394,0,"{""type"":""Point"",""coordinates"":[75.45559446594943,49.22340665641701]}"
2_2_1064,0.2759000062942505,0.2825999855995178,0.2065500020980835,0.21379999816417694,0.09019999951124191,0.09629999846220016,0.15620000660419464,0.17839999496936798,-0.1388008112639713,-0.09026008111824516,Karkaraly,0.04854073002934456,0,"{""type"":""Point"",""coordinates"":[75.459398816725,49.19583740919314]}"
2_2_1068,0.25999999046325684,0.2651999890804291,0.19189999997615814,0.19539999961853027,0.08569999784231186,0.09189999848604202,0.18119999766349792,0.20190000534057617,-0.02867864481466546,0.01636044712034407,Karkaraly,0.045039091259241104,0,"{""type"":""Point"",""coordinates"":[75.3105180621768,49.22819891545761]}"
2_2_1071,0.1732500046491623,0.218299999833107,0.12974999845027924,0.1501999944448471,0.04715000092983246,0.05829999968409538,0.18240000307559967,0.20800000429153442,0.16866892317139864,0.1613623954511106,Karkaraly,-0.007306527812033892,0,"{""type"":""Point"",""coordinates"":[75.45259785026933,49.22735375415081]}"
2_2_1085,0.1987999975681305,0.21185000240802765,0.13439999520778656,0.14284999668598175,0.05640000104904175,0.06499999761581421,0.19619999825954437,0.21275000274181366,0.1869328622895594,0.1965691961988462,Karkaraly,0.009636334143579006,0,"{""type"":""Point"",""coordinates"":[75.30301953150386,49.23584848632529]}"
2_2_1086,0.2292499989271164,0.2387000024318695,0.16455000638961792,0.17010000348091125,0.08429999649524689,0.0877000018954277,0.19439999759197235,0.20589999854564667,0.0831591889434423,0.09521275231856717,Karkaraly,0.012053563259541988,0,"{""type"":""Point"",""coordinates"":[75.41586588728252,49.23701690874328]}"
2_2_1097,0.3010999858379364,0.3124000132083893,0.24764999747276306,0.2535000145435333,0.11129999905824661,0.11599999666213989,0.1776999980211258,0.19820000231266022,-0.16445280402651904,-0.12242641170518002,Karkaraly,0.04202639311552048,0,"{""type"":""Point"",""coordinates"":[75.32612112502538,49.17546232908725]}"
2_2_1109,0.20489999651908875,0.23549999296665192,0.14169999957084656,0.1703999936580658,0.07524999976158142,0.08510000258684158,0.19269999861717224,0.20630000531673431,0.15251195969699308,0.0953013319786871,Karkaraly,-0.05721062794327736,0,"{""type"":""Point"",""coordinates"":[75.4431501837593,49.23631499418587]}"
2_2_1131,0.22374999523162842,0.23229999840259552,0.1437000036239624,0.1492999941110611,0.06800000369548798,0.05939999967813492,0.2231999933719635,0.24279999732971191,0.21668026819003727,0.23845959005274311,Karkaraly,0.021779321134090424,0,"{""type"":""Point"",""coordinates"":[75.39839856447027,49.23782285165078]}"
2_2_1133,0.31619998812675476,0.2768000066280365,0.22095000743865967,0.19030000269412994,0.0961500033736229,0.08320000022649765,0.2054000049829483,0.19439999759197235,-0.036472386543135164,0.010657642045212455,Karkaraly,0.047130029648542404,0,"{""type"":""Point"",""coordinates"":[75.45335739617764,49.179294216855475]}"
2_2_1145,0.3156000077724457,0.3264999985694885,0.2583500146865845,0.26809999346733093,0.12489999830722809,0.13359999656677246,0.19740000367164612,0.21539999544620514,-0.13373561944001977,-0.1089968960279544,Karkaraly,0.024738723412156105,0,"{""type"":""Point"",""coordinates"":[75.3195930712455,49.17272263983367]}"
2_2_1146,0.31025001406669617,0.26684999465942383,0.25404998660087585,0.21144999563694,0.21439999341964722,0.1800999939441681,0.3059999942779541,0.26205000281333923,0.09275959191277597,0.1068637958648538,Karkaraly,0.014104204252362251,0,"{""type"":""Point"",""coordinates"":[75.44881725156122,49.19948440654806]}"
2_2_1147,0.23240000009536743,0.25690001249313354,0.15895000100135803,0.18289999663829803,0.07400000095367432,0.07410000264644623,0.20430000126361847,0.21780000627040863,0.12484514791325288,0.08709760264229903,Karkaraly,-0.037747547030448914,0,"{""type"":""Point"",""coordinates"":[75.40058310852575,49.22645646228379]}"
2_2_1154,0.33355000615119934,0.34869998693466187,0.2676999866962433,0.27489998936653137,0.14499999582767487,0.14820000529289246,0.2511500120162964,0.25619998574256897,-0.03189741682762563,-0.035209950104254824,Karkaraly,-0.0033125332556664944,0,"{""type"":""Point"",""coordinates"":[75.38281164974015,49.234696841770905]}"
2_2_1158,0.31940001249313354,0.3276999890804291,0.26269999146461487,0.27219998836517334,0.13760000467300415,0.14159999787807465,0.20995000004768372,0.22859999537467957,-0.11160476539553385,-0.08706069170549806,Karkaraly,0.02454407326877117,0,"{""type"":""Point"",""coordinates"":[75.32062474540963,49.17195929740781]}"
2_2_1162,0.27515000104904175,0.2782000005245209,0.22374999523162842,0.22220000624656677,0.11289999634027481,0.10939999669790268,0.19509999454021454,0.21209999918937683,-0.06840157906418998,-0.02325582991197919,Karkaraly,0.04514575004577637,0,"{""type"":""Point"",""coordinates"":[75.35255769185709,49.21845672989803]}"
2_2_1172,0.34255000948905945,0.35989999771118164,0.28630000352859497,0.2946000099182129,0.18449999392032623,0.20100000500679016,0.2587999999523163,0.26350000500679016,-0.05044946505351051,-0.05572478781532002,Karkaraly,-0.005275322590023279,0,"{""type"":""Point"",""coordinates"":[75.412612985904,49.236544680958104]}"
2_2_1175,0.31610000133514404,0.3310999870300293,0.2591499984264374,0.26969999074935913,0.20749999582767487,0.21279999613761902,0.27300000190734863,0.28929999470710754,0.026026502813537484,0.03506261979907476,Karkaraly,0.009036117233335972,0,"{""type"":""Point"",""coordinates"":[75.37732217726263,49.171686341633986]}"
2_2_1180,0.20990000665187836,0.22750000655651093,0.14509999752044678,0.15835000574588776,0.07259999960660934,0.07289999723434448,0.19470000267028809,0.20704999566078186,0.14596823167157175,0.13327857068258125,Karkaraly,-0.012689661234617233,0,"{""type"":""Point"",""coordinates"":[75.39347673077711,49.23385162490168]}"
2_2_1186,0.20350000262260437,0.226500004529953,0.1445000022649765,0.16449999809265137,0.08550000190734863,0.0913499966263771,0.18299999833106995,0.20184999704360962,0.11755723968251564,0.10195168403664429,Karkaraly,-0.015605555847287178,0,"{""type"":""Point"",""coordinates"":[75.30770205628411,49.23173457173921]}"
2_2_1193,0.28964999318122864,0.30550000071525574,0.22259999811649323,0.23010000586509705,0.1185000017285347,0.13199999928474426,0.1847500056028366,0.2102999985218048,-0.09291761916795224,-0.04495914429169138,Karkaraly,0.04795847460627556,0,"{""type"":""Point"",""coordinates"":[75.37973218886643,49.17158668384761]}"
